"...1","year","Autres impôts, taxes et versements assimilés","Ventes de marchandises","Production vendue biens","Production vendue services","Chiffres d’affaires nets","Production stockée","Production immobilisée","Subventions d’exploitation","Reprises sur amortissements et provisions, transfert de charges","Autres produits","Total des produits d’exploitation","Achats de marchandises (y compris droits de douane)","Variation de stock (marchandises)","Achats de matières premières et autres approvisionnements","Variation de stock (matières premières et approvisionnements)","Autres achats et charges externes","Impôts, taxes et versements assimilés","Salaires et traitements","Charges sociales","Autres charges","Total des charges d’exploitation","Résultat d'exploitation","Bénéfice attribué ou perte transférée","Perte supportée ou bénéfice transféré","Produits financiers de participations","Produits des autres valeurs mobilières et créances de l’actif immobilisé","Autres intérêts et produits assimilés","Reprises sur provisions et transferts de charges financier","Différences positives de change","Produits nets sur cessions de valeurs mobilières de placement","Total des produits financiers","Dotations financières sur amortissements et provisions","Intérêts et charges assimilées","Différences négatives de change","Charges nettes sur cessions de valeurs mobilières de placement","Total des charges financières","Résultat financier","Résultat en cours avant impôts","Produits exceptionnels sur opérations de gestion","Produits exceptionnels sur opérations en capital","Reprises sur provisions et transferts de charges exceptionnel","Total des produits exceptionnels","Charges exceptionnelles sur opérations de gestion","Charges exceptionnelles sur opérations en capital","Dotations exceptionnelles aux amortissements et provisions","Total des charges exceptionnelles","Résultat exceptionnel","Participation des salariés aux résultats de l’entreprise","Impôts sur les bénéfices","Total des produits","Total des charges","Bénéfices ou perte (Total des produits ‐ Total des charges)","Impôts différés (compte de résultat)","Résultat net des sociétés mises en équivalence","Résultat net des entreprises intégrées","Résultat Groupe (Résultat net consolidé)","Part des intérêts minoritaires (Résultat hors groupe)","Résultat net part du groupe (part de la société mère)","Rémunération d’intermédiaires et honoraires (hors rétrocessions)","Location, charges locatives et de copropriété","Effectif moyen du personnel","Sous‐traitance","Personnel extérieur à l’entreprise","Rétrocessions d’honoraires, commissions et courtages","Taxe professionnelle","Montant de la TVA. collectée","Total TVA. déductible sur biens et services","Dividendes","siren","denomination","enthic","postal_code","town","ape","ape_name","ape_len","ape_division","ape_groupe","ape_classe","ape_sous_classe","ess_N° IDENTITE ENTREPRISE (SIREN)","ess_RAISON SOCIALE","ess_ENSEIGNE","ess_SIGLE","ess_CP VILLE","ess_FORME JURIDIQUE","is_ess"
0,1919,NA,2143339,189049,72029,2404417,NA,NA,NA,6403,535,2411355,NA,16200,4606,NA,416966,14456,356608,101186,170,2240280,NA,NA,NA,NA,NA,6911,NA,NA,NA,6911,NA,752,NA,NA,752,6158,NA,472,NA,NA,NA,NA,1791,NA,1791,-1319,NA,52797,2418738,2295621,123117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,414381475,"PRO PLAQUES INTERNATIONAL",362,"44470","CARQUEFOU","7010Z","Activités des sièges sociaux",5,70,701,7010,"7010Z",NA,NA,NA,NA,NA,NA,FALSE
1,2007,NA,327650,NA,19396,347046,NA,NA,NA,9280,NA,356326,176131,359,NA,NA,57107,4485,73776,28777,-98,360374,-4048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3338,NA,NA,3338,-3338,-7385,8434,25993,NA,34427,318,NA,NA,26311,8116,NA,599,390753,390621,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,420210577,"SOCCO FRERES",495,"13124","PEYPIN","4662Z","Commerce de gros (commerce interentreprises) de machines-outils",5,46,466,4662,"4662Z",NA,NA,NA,NA,NA,NA,FALSE
2,2008,NA,18849,NA,847996,866844,NA,NA,NA,5626,1505,873976,NA,-8930,32,NA,409266,46139,230059,55848,125363,957888,-83912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12537,NA,NA,12537,-12537,-96449,NA,NA,NA,2078,64,NA,NA,64,NA,NA,NA,876054,970489,-94435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,527710172,"KC BORDEAUX",362,"13510","EGUILLES","7010Z","Activités des sièges sociaux",5,70,701,7010,"7010Z",NA,NA,NA,NA,NA,NA,FALSE
3,2009,NA,268569,NA,758,269327,NA,NA,NA,4054,38,273419,132881,NA,1115,NA,48998,2568,50353,19658,39,265855,7564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1512,NA,NA,1512,NA,6053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,908,273419,268275,5145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,420210577,"SOCCO FRERES",495,"13124","PEYPIN","4662Z","Commerce de gros (commerce interentreprises) de machines-outils",5,46,466,4662,"4662Z",NA,NA,NA,NA,NA,NA,FALSE
4,2009,NA,24207,NA,1173,25380,NA,NA,NA,NA,NA,25380,NA,NA,NA,NA,18237,742,NA,793,NA,33932,-8552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-8552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25380,33932,-8552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,592,5084,6774,NA,492952080,"FOURNIL DIRECT",35,"94360","BRY SUR MARNE","4669C","Comm. gros de fournitures & équipts divers pour commerces & sces",5,46,466,4669,"4669C",NA,NA,NA,NA,NA,NA,FALSE
5,2010,NA,NA,NA,299945,299945,NA,NA,NA,62508,NA,362454,NA,NA,NA,NA,171215,184,58000,95015,1,324414,38039,NA,NA,NA,NA,125,2889,NA,54,NA,NA,NA,NA,161,161,2907,40946,NA,NA,NA,NA,NA,NA,NA,1544,-1544,NA,5849,365522,331968,33553,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,392031902,"CAMUS PARTICIPATIONS",234,"73000","JACOB BELLECOMBETTE","4690Z","Commerce de gros (commerce interentreprises) non spécialisé",5,46,469,4690,"4690Z",NA,NA,NA,NA,NA,NA,FALSE
6,2010,NA,153710,NA,2560,156270,NA,NA,NA,NA,6,NA,84682,3443,1212,NA,30817,1024,23882,2559,4,147718,8558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,538,-538,8020,NA,NA,NA,NA,2733,NA,NA,2733,-2733,NA,806,156276,151795,4480,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,420210577,"SOCCO FRERES",495,"13124","PEYPIN","4662Z","Commerce de gros (commerce interentreprises) de machines-outils",5,46,466,4662,"4662Z",NA,NA,NA,NA,NA,NA,FALSE
7,2010,NA,7154,NA,103228,110382,NA,NA,NA,2190,NA,112573,3002,-315,7416,NA,23022,NA,47062,12315,150,96322,16250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1292,NA,NA,1292,-1292,14957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2244,112573,99859,12713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,499494821,"CREA TIFS COIFFURE",1458,"78130","LES MUREAUX","9602A","Coiffure",5,96,960,9602,"9602A",NA,NA,NA,NA,NA,NA,FALSE
8,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,NA,1943,155,NA,NA,NA,3035,-3035,NA,NA,NA,NA,NA,NA,NA,8,8,NA,29,NA,NA,29,-20,-3055,NA,NA,NA,NA,472,NA,NA,472,-472,NA,NA,8,3535,-3527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500031919,"MEDC",1515,"33500","LIBOURNE","6420Z","Activités des sociétés holding",5,64,642,6420,"6420Z",NA,NA,NA,NA,NA,NA,FALSE
9,2010,NA,NA,NA,21600,21600,NA,NA,NA,NA,NA,21600,NA,NA,NA,NA,60082,68228,NA,NA,NA,128312,-106712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-106712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21600,128312,-106712,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,524584810,"LA MAISON DE SEBEA",1528,"33170","GRADIGNAN","6820A","Location de logements",5,68,682,6820,"6820A",NA,NA,NA,NA,NA,NA,FALSE
