Columns of the profit and loss (FR),Liasse (Id),Calcul,Columns of the profit and loss EN),Description (FR),Liasse (Id),Calcul
year,,,publishing year of the income statement,année durant laquelle le compte de résultat a été publié ,,
"Autres impôts, taxes et versements assimilés",9Z,,,,9Z,
Ventes de marchandises,FA,,sale of goods,action de d'acheter puis de vendre du matériel dans le même états (acheter puis vendre une pomme) ,FA,
Production vendue biens,FD,,sold productions of goods,concerne la vente de bien produits ou transformé par l'entreprise,FD,
Production vendue services,FG,,sold productions of services,concerne la vente de service fourni par l'entreprise,FG,
Chiffres d’affaires nets,FJ,,net turnover,somme des ventes de bien ou de services sur une période de temps donnée,FJ,
Production stockée,FM,,stocked production,variation du stock sur une période de temps donnée,FM,
Production immobilisée,FN,,immobilized productions,immobilisation produites par l'entreprise (commedes travaux pour des locaux),FN,
Subventions d’exploitation,FO,,operating grants,subvention  octroyée a une entreprise pour faire face a certaines charges d'exploitation ou compenser l'insuffisance de certains produits (c'est une aide financière accordée a l'entreprise),FO,
"Reprises sur amortissements et provisions, transfert de charges",FP,,"recovery of amortization and provision, load transfert",,FP,
Autres produits,FQ,,other products,produits qui ne sont pas liés a la vente ou au service fournie par l'entreprise,FQ,
Total des produits d’exploitation,FR,FJ + FM + FN + FO + FP + FQ,total of exploitation product,somme de tout les produits d'exploitation,FR,FJ + FM + FN + FO + FP + FQ
Achats de marchandises (y compris droits de douane),FS,,goods purchases (including custom duty),achats de biens fait par la société dans le but de les revendres tel quels,FS,
Variation de stock (marchandises),FT,,stock variations (goods),différence entre le stock initial et le stock final,FT,
Achats de matières premières et autres approvisionnements,FU,,raw materials purchases and others supply,achats des matières par l'entreprises permettant la création d'un produit vendu,FU,
Variation de stock (matières premières et approvisionnements),FV,,stock variations (raw materials and supplies),différence entre le stock initial et le stock final,FV,
Autres achats et charges externes,FW,,other purchases and external charges/expenses,"charges provenant de tiers (sous traitance , loyer) ",FW,
"Impôts, taxes et versements assimilés",FX,,"taxes , ands equivalent payment",versements obligatoires à l'état,FX,
Salaires et traitements,FY,,wages and treatments,rémunérations perçues par des personnes liés a des employeurs,FY,
