,ape,ape_name,ape_len,ape_cat0,ape_cat1,ape_cat2,ape_cat3,Libellé,Code
0,1020Z,"Transform. & conserv. poisson, crustacés & mollusques",5,10,2.0,0.0,Z,Industrie manufacturière,C
1,812,Activités de nettoyage,3,81,2.0,,,Activités de services administratifs et de soutien,N
2,1610B,Imprégnation du bois,5,16,1.0,0.0,B,Industrie manufacturière,C
3,0910Z,Activités de soutien à l'extraction d'hydrocarbures,5,9,1.0,0.0,Z,Industries extractives,B
4,7420Z,Activités photographiques,5,74,2.0,0.0,Z,"Activités spécialisées, scientifiques et techniques",M
5,4776Z,"Comm. dét. fleurs, plantes, etc, animaux de cie et leurs aliments",5,47,7.0,6.0,Z,Commerce ; réparation d'automobiles et de motocycles,G
6,4742Z,Comm. détail matériels télécommunication (magasin spécialisé),5,47,4.0,2.0,Z,Commerce ; réparation d'automobiles et de motocycles,G
7,2363,Fabrication de béton prêt à l'emploi,4,23,6.0,3.0,,Industrie manufacturière,C
8,2652,Horlogerie,4,26,5.0,2.0,,Industrie manufacturière,C
9,8122Z,Autres activités nettoyage des bâtiments et nettoyage industriel,5,81,2.0,2.0,Z,Activités de services administratifs et de soutien,N
10,94,Activités des organisations associatives,2,94,,,,Autres activités de services,S
11,8622A,Activités de radiodiagnostic et de radiothérapie,5,86,2.0,2.0,A,Santé humaine et action sociale,Q
12,5010,Transports maritimes et côtiers de passagers,4,50,1.0,0.0,,Transports et entreposage,H
13,561,Restaurants et services de restauration mobile,3,56,1.0,,,Hébergement et restauration,I
14,0114Z,Culture de la canne à sucre,5,1,1.0,4.0,Z,"Agriculture, sylviculture et pêche",A
15,1411Z,Fabrication de vêtements en cuir,5,14,1.0,1.0,Z,Industrie manufacturière,C
16,267,Fabrication de matériels optique et photographique,3,26,7.0,,,Industrie manufacturière,C
17,2640,Fabrication de produits électroniques grand public,4,26,4.0,0.0,,Industrie manufacturière,C
18,1051B,Fabrication de beurre,5,10,5.0,1.0,B,Industrie manufacturière,C
19,0162Z,Activités de soutien à la production animale,5,1,6.0,2.0,Z,"Agriculture, sylviculture et pêche",A
20,4666,Commerce de gros d'autres machines et équipements de bureau,4,46,6.0,6.0,,Commerce ; réparation d'automobiles et de motocycles,G
21,309,Fabrication de matériels de transport n.c.a.,3,30,9.0,,,Industrie manufacturière,C
22,475,Comm. détail autres équipts du foyer (magasin spécialisé),3,47,5.0,,,Commerce ; réparation d'automobiles et de motocycles,G
23,01,"Culture et production animale, chasse et services annexes",2,1,,,,"Agriculture, sylviculture et pêche",A
24,0123Z,Culture d'agrumes,5,1,2.0,3.0,Z,"Agriculture, sylviculture et pêche",A
25,4520B,Entretien et réparation d'autres véhicules automobiles,5,45,2.0,0.0,B,Commerce ; réparation d'automobiles et de motocycles,G
