,year,"Autres impôts, taxes et versements assimilés",Ventes de marchandises,Production vendue biens,Production vendue services,Chiffres d’affaires nets,Production stockée,Production immobilisée,Subventions d’exploitation,"Reprises sur amortissements et provisions, transfert de charges",Autres produits,Total des produits d’exploitation,Achats de marchandises (y compris droits de douane),Variation de stock (marchandises),Achats de matières premières et autres approvisionnements,Variation de stock (matières premières et approvisionnements),Autres achats et charges externes,"Impôts, taxes et versements assimilés",Salaires et traitements,Charges sociales,Autres charges,Total des charges d’exploitation,Résultat d'exploitation,Bénéfice attribué ou perte transférée,Perte supportée ou bénéfice transféré,Produits financiers de participations,Produits des autres valeurs mobilières et créances de l’actif immobilisé,Autres intérêts et produits assimilés,Reprises sur provisions et transferts de charges financier,Différences positives de change,Produits nets sur cessions de valeurs mobilières de placement,Total des produits financiers,Dotations financières sur amortissements et provisions,Intérêts et charges assimilées,Différences négatives de change,Charges nettes sur cessions de valeurs mobilières de placement,Total des charges financières,Résultat financier,Résultat en cours avant impôts,Produits exceptionnels sur opérations de gestion,Produits exceptionnels sur opérations en capital,Reprises sur provisions et transferts de charges exceptionnel,Total des produits exceptionnels,Charges exceptionnelles sur opérations de gestion,Charges exceptionnelles sur opérations en capital,Dotations exceptionnelles aux amortissements et provisions,Total des charges exceptionnelles,Résultat exceptionnel,Participation des salariés aux résultats de l’entreprise,Impôts sur les bénéfices,Total des produits,Total des charges,Bénéfices ou perte (Total des produits ‐ Total des charges),Impôts différés (compte de résultat),Résultat net des sociétés mises en équivalence,Résultat net des entreprises intégrées,Résultat Groupe (Résultat net consolidé),Part des intérêts minoritaires (Résultat hors groupe),Résultat net part du groupe (part de la société mère),Rémunération d’intermédiaires et honoraires (hors rétrocessions),"Location, charges locatives et de copropriété",Effectif moyen du personnel,Sous‐traitance,Personnel extérieur à l’entreprise,"Rétrocessions d’honoraires, commissions et courtages",Taxe professionnelle,Montant de la TVA. collectée,Total TVA. déductible sur biens et services,Dividendes,siren,denomination,enthic,postal_code,town,ape,ape_name,ape_len,ape_division,ape_groupe,ape_classe,ape_sous_classe,ess_N° IDENTITE ENTREPRISE (SIREN),ess_RAISON SOCIALE,ess_ENSEIGNE,ess_SIGLE,ess_CP VILLE,ess_FORME JURIDIQUE,is_ess
1,2012,,,2083123,354188,2437311,-23672,,,12895,,2426535,,,171193,-4803,1167216,47428,823640,394435,246,2638713,,,,,,14553,7622,,54233,76408,,,,,208,76200,-135978,3042,43819,,,90,49622,,49712,-2852,,-5872,2549804,2682762,,,,,,,,,,,,,,,,,,5980016,SOCIETE NAZAIRIENNE DE MECANIQUE,777,44550,MONTOIR-DE-BRETAGNE,2562B,Mécanique industrielle,5,25,256,2562,2562B,,,,,,,YANLIŞ
2,2012,,721085,,235816,956901,,,,1592,644,959137,484063,39593,4264,,351540,15860,,41865,245,1062994,-103857,,,,,,,,,,,3599,,,3599,-3599,-107456,90000,,,90000,285,,,285,89715,,,,1066879,-17741,,,,,,,,,,,,,,,,,36820348,RIO FRANCE,636,6160,JUAN-LES-PINS,4764Z,Commerce de détail d'articles de sport en magasin spécialisé,5,47,476,4764,4764Z,,,,,,,YANLIŞ
3,2012,,,,24000,24000,,,,,,24000,,,,,1568,654,,,,4285,19715,,,,,,,,,,,,,,,,19715,,,,,,,,,,,2957,24000,7242,16758,,,,,,,,,,,,,,,,,58807413,SARL O MONACO,114,13001,MARSEILLE (1ER),6820B,Location de terrains et d'autres biens immobiliers,5,68,682,6820,6820B,,,,,,,YANLIŞ
4,2012,,,,,,,,,,,,,,,,6162,8117,,,,17726,-17726,,,,,,,,,,,269,,,269,-269,-17994,,,,,,,,,,,,,17994,-17994,,,,,,,,,,,,,,,,,64802101,SOMATRAP - SOCIETE DE MATERIEL INDUSTRIEL DE TRAVAUX PUBLICS,1505,30100,ALES,4663Z,"Comm de gros de machines pour l'extrac, la constr, le génie civil",5,46,466,4663,4663Z,,,,,,,YANLIŞ
5,2012,,,367220889,,367220889,1638827,,28390,9906113,81051,378875270,26581980,-110222,235207523,-2499228,76272913,2293351,11931171,4998164,77377,366860995,,,,,,1382331,,2755471,50872,4188674,,685832,531476,,1217308,2971367,14985642,65649,362988,1089794,1518430,,84808,327548,513356,1005074,1743404,5012015,384582375,,9235297,,,,,,,,,,,,,,,,,85581494,LAITERIE DE SAINT DENIS DE L'HOTEL,1175,45550,SAINT DENIS DE L'HOTEL,1107B,Production de boissons rafraîchissantes,5,11,110,1107,1107B,,,,,,,YANLIŞ
6,2012,,4230832,,433962,4664794,,,,21761,1799,4688353,2451253,14533,,,782674,162589,512742,191106,5770,4299583,388770,,,,32520,63705,,,,96225,,,,,35742,60482,449252,,5708,,,,,,,5708,,144830,4790286,4480156,310131,,,,,,,,,,,,,,,,,86080702,S.A.S. MEUBLES SICOT,704,45160,OLIVET,4759A,Commerce de détail de meubles,5,47,475,4759,4759A,,,,,,,YANLIŞ
7,2012,,,,,120388,,,,1680,65,122133,,,,,56062,3057,69417,26178,3,160505,-38372,,,,,,,1,,1,,3363,,,3363,-3362,-41734,,9000,,9000,618,5513,,6131,2869,,,131133,169999,-38865,,,,,,,,,2,,,,,,,,300817087,AGENCE BOURGOGNE PUISAYE,1010,89130,TOUCY,6831Z,Agences immobilières,5,68,683,6831,6831Z,,,,,,,YANLIŞ
8,2012,,63276993,,4877348,68154341,305665,,103580,6468630,24080,75056297,28066989,-600004,504651,,,957859,6698808,2802988,219181,66382919,8673378,,,1846045,,499597,8779,287732,,2642153,23221,110769,,,453973,2188180,10861558,743783,-456,167580,910907,36582,,81336,117918,,554551,3209244,78609356,70718605,,,,,,,,,,,,,,,,,,301420469,TEXDECOR,1441,59780,WILLEMS,4673B,Commerce de gros d'appareils sanitaires et produits de décoration,5,46,467,4673,4673B,,,,,,,YANLIŞ
9,2012,,,,6164853,6164853,31701,,,127102,5099,6328756,,,,,1409219,148682,2542806,1127463,97230,5491227,837528,,,44250,,4361,,,,48611,,20158,,,,28453,865981,5145,,,5145,1401,,478,,3265,89192,233087,6382511,5835544,,,,,,,,,,,,,,,,,,302137435,SAGECO,742,33501,LIBOURNE,6920Z,Activités comptables,5,69,692,6920,6920Z,,,,,,,YANLIŞ
10,2012,,307508,,23205,330714,,,,,4,330718,123561,,5350,,66389,3856,34907,6028,72109,315640,15078,,,,,,,,,,,,,,3029,-3029,12049,139,,,139,,,,134,5,,1808,330857,320611,10246,,,,,,,,,,,,,,,,,302454350,BOUQUET'S MONTPARNASSE,5,75006,PARIS,4776Z,"Comm. dét. fleurs, plantes, etc, animaux de cie et leurs aliments",5,47,477,4776,4776Z,,,,,,,YANLIŞ
11,2012,,41750571,31604,418845,42201022,,,,140913,50689,42392624,32559659,-260949,,-765,4146629,590029,3030675,969373,29957,41683882,,,,201200,,27032,,,,235888,50907,,,,151348,84539,793281,350,,142871,143221,,,98172,98737,44483,218279,107342,42771734,42259589,512144,,,,,,,,,,,,,,,,,302517917,SOCIETE DE DISTRIBUTION DU NORD VENDEE,286,85600,MONTAIGU,4711F,Hypermarchés,5,47,471,4711,4711F,,,,,,,YANLIŞ
12,2012,,,,2462113,2462113,,,,200,196,2462511,,,87,,737984,206934,795789,267167,15016,2354070,108441,249467,,5764937,,107151,,184,52146,,,92122,2248,,94370,5830049,6187957,,31964,20298,52262,,34604,7082,41721,10541,,373302,8688660,2863463,5825196,,,,,,,203554,13736,,26612,,,24555,308328,,4343949,302565049,COMPAGNIE D'INVESTISSEMENTS INDUSTRIELS ET COMMERCIAUX - C I,1515,95310,SAINT OUEN L'AUMONE,6420Z,Activités des sociétés holding,5,64,642,6420,6420Z,,,,,,,YANLIŞ
13,2012,,25466,,434495,459960,,,,,,459960,,-623,,,117991,4769,196415,81677,,436732,23228,,,,,,,,,,,,,,587,-587,22641,796,6952,,7747,601,,,8260,-513,,3409,467708,448988,18719,,,,,,,,,,,,,,,,,302640453,AR-MEN FORMATION,1295,94130,NOGENT SUR MARNE,8553Z,Enseignement de la conduite,5,85,855,8553,8553Z,,,,,,,YANLIŞ
14,2012,,1937719,,,1937719,,,2206,17809,104,1957838,,7806,13387,-2218,362497,9930,218313,74792,566,1965089,-7251,,,,,6166,,,,6166,,4432,,,4432,1734,-5517,66,24483,,,785,1221,169,2175,22373,,2534,1988553,1974230,14323,,,,,,,7006,56204,8,,,,1669,107772,97776,28200,304557861,POISSONNERIE MAUGER,367,28400,NOGENT-LE-ROTROU,4781Z,Commerce de détail alimentaire sur éventaires et marchés,5,47,478,4781,4781Z,,,,,,,YANLIŞ
15,2012,,,,4614938,4614938,41334,,8394,144846,5,4809520,,,1238630,19742,1802641,76518,960459,608305,4,4863068,-53548,,,,,42053,204372,,,246425,16527,2275,130,,187536,58889,5341,2522,,,2522,,,63824,65515,-62992,,-1600,5058468,5114519,,,,,,,,420992,292253,37,298718,110612,,41122,807944,567699,,305118945,DELAUNAY SAS,959,60134,VILLERS-SAINT-SEPULCRE,4329A,Travaux d'isolation,5,43,432,4329,4329A,,,,,,,YANLIŞ
16,2012,,,,328338,328338,,,,,,328338,,,,,73591,29264,13745,5013,,149803,178535,,,,,,,,,,,,,,54,-54,178481,,,1248,1248,,,4268,195672,-194424,,,329586,345529,-15943,,,,,,,,,,,,,,,,,305306177,BERDAL TOURISTIQUE,187,97232,LE,5510Z,Hôtels et hébergement similaire,5,55,551,5510,5510Z,,,,,,,YANLIŞ
17,2012,,4556135,,,,,,,15002,1125,4813761,3783961,,,,418002,,270216,80036,,899,,,,,,6802,,,,6802,,46555,,,46555,-39753,13600,110602,,,110602,112562,,,112562,-1959,,,4947294,4935653,11640,,,,,,,,,,,,,,,,,305663296,BROUSSE LOISIRS,433,80000,AMIENS,4519Z,Commerce d'autres véhicules automobiles,5,45,451,4519,4519Z,,,,,,,YANLIŞ
18,2012,,16809003,,73992,16882995,,,,302445,170107,17355547,,-273397,60325,-2869,2720750,256782,2170603,1013343,7346,18034574,-679028,,,250000,,30404,3361,509,,284274,7323,235146,4494,,246963,,-641717,35781,16200,,,10003,125309,,135312,-83331,,-4000,17691802,18412850,-721048,,,,,,,,,,,,,,,,,305821225,DIFAC,1288,67960,ENTZHEIM,4642Z,Commerce de gros d'habillement et de chaussures,5,46,464,4642,4642Z,,,,,,,YANLIŞ
19,2012,,,,400268,400268,,,1000,14425,562,416256,,,,,96544,8978,213825,74167,3833,410148,6108,,,,,,,,,,,,,,2694,-2694,3414,,,,,,,,6,-6,,484,416256,413332,2923,,,,,,,,,,,,,,,,,306138868,FIT EXPERTISE,742,30000,NIMES,6920Z,Activités comptables,5,69,692,6920,6920Z,,,,,,,YANLIŞ
20,2012,,,,789416,789416,,,,4435,,793851,,,,,183432,69102,26709,11408,16123,398107,395744,,,,,606,,,,606,,,,,,606,,1,,,1,75,,,75,,,136597,794457,534780,259678,,,,,,,99183,,1,,,,764,133522,32501,143220,307047910,,,,,,,,,,,,,,,,,,YANLIŞ
21,2012,,,,56293,56293,,,,,1,56294,,,,,12934,8235,,,,21700,34593,,,,,,,,,,,30,,,,-30,34563,,,,,30,,,,-30,,11511,56294,33271,23022,,,,,,,6081,728,,,,,-434,11094,2356,,308338383,S.I.B.,114,95310,ST OUEN L AUMONE,6820B,Location de terrains et d'autres biens immobiliers,5,68,682,6820,6820B,,,,,,,YANLIŞ
22,2012,,,,6812,6812,,,,,,6812,,,,,4599,1701,,,,6300,512,,,,,,,,,,,25,,,25,,487,,,,,,,,,,,73,,,414,,,,,,,,,,,,,,,,,308800556,SOCIETE IMMOBILIERE ET MOBILIERE ANREP SIMA,164,16120,BONNEUIL,6832A,Administration d'immeubles et autres biens immobiliers,5,68,683,6832,6832A,,,,,,,YANLIŞ
23,2012,,,,429891,429891,135333,,,3289,3011,571525,215071,-800,,,89094,8102,165484,72005,4,557862,13663,,,,,,,,,,,,,,22012,-22012,-8349,18646,,,18646,,,,7900,10745,,-1600,590171,,3996,,,,,,,,,,,,,,,,,309172518,SOPOMEST,542,67118,GEISPOLSHEIM,4332A,Travaux de menuiserie bois et PVC,5,43,433,4332,4332A,,,,,,,YANLIŞ
24,2012,,,,64753,64753,,,,,,64753,,,34630,,12090,401,25377,11346,1,83847,-19094,,,5,,,,,,,,,,,,5,-19088,,,,,,,,,,,,64758,83847,-19088,,,,,,,,,,,,,,,,,309382661,SAUVAGET ELECTRICITE,692,44860,SAINT-AIGNAN DE GRAND LIEU,4321A,Travaux d'installation électrique dans tous locaux,5,43,432,4321,4321A,,,,,,,YANLIŞ
25,2012,,929988,,,929988,,,,,230,930218,614129,20014,,,279774,5541,,,,922613,7604,,,,,,,,,,,556,,,556,-556,7048,,,,,1292,,,1292,-1292,,,930218,925583,4635,,,,,,,,,,,,,,,,,309989705,CENTRE TECHNIQUE AUDIO,891,75015,PARIS,4743Z,Commerce de détail de matériels audio/vidéo en magasin spécialisé,5,47,474,4743,4743Z,,,,,,,YANLIŞ
26,2012,,568390,,1372,569762,,,,,4,569766,289439,17392,,,,3297,97234,38283,190,575087,-5321,,,,,,,,,,,3661,,,3661,-3661,-8981,,,,,,,,,,,,569766,578748,-8981,,,,,,,,,,,,,,,,,311059034,KIM AND KIM,212,75006,PARIS,4771Z,Commerce de détail d'habillement en magasin spécialisé,5,47,477,4771,4771Z,,,,,,,YANLIŞ
27,2012,,199806,2747,6608,209160,,,,,,209160,,-970,2190,,33713,2419,13243,9967,,208289,,,,,,,,,,,,,,,,,871,,,,,221,,,221,-220,,,209160,208509,651,,,,,,,,,,,,,,,,,311349500,BHARMAL EXPORT,816,92110,CLICHY LA GARENNE,4531Z,Commerce de gros d'équipements automobiles,5,45,453,4531,4531Z,,,,,,,YANLIŞ
28,2012,,,,6396718,6396718,,,,398881,,6795600,-749119,,,,4120195,57557,,,29783,3781774,3013825,1866894,,52650,,46210,350000,,,,,,,,,448860,5329580,74757,,2393,77150,167890,,51281,219171,,,1623752,9188506,5624698,3563808,,,,,,,,,,,,,,,,,312197130,PIZZA PAI INTERNATIONAL,362,59650,VILLENEUVE-D ASCQ,7010Z,Activités des sièges sociaux,5,70,701,7010,7010Z,,,,,,,YANLIŞ
29,2012,,,,,,,,,,,,,,,,500,775,,,45,1320,-1320,,,,,,,,,,,437,,,437,-437,-1758,,,,,5074,,,5074,-5073,,,,6831,-6831,,,,,,,87,,,,,,775,,,,313549891,SOCIETE PEINTURE ET ETUDES ARCHITECTURALES,973,95880,ENGHIEN LES BAINS,7112B,"Ingénierie, études techniques",5,71,711,7112,7112B,,,,,,,YANLIŞ
30,2012,,546215,,4764,550979,,,,28153,,579132,453083,-13709,576,,,4023,52392,18129,,574110,5022,,,,,,,,,,,,,,1741,-1741,3281,,159,,159,,,,8,151,,515,,,2917,,,,,,,,,,,,,,,,,313671109,LIBRAIRIE GAIA,1188,83200,TOULON,4761Z,Commerce de détail de livres en magasin spécialisé,5,47,476,4761,4761Z,,,,,,,YANLIŞ
