ape,ape_name,ape_len,ape_division,ape_groupe,ape_classe,ape_sous_classe
2562B,Mécanique industrielle,5,25,256,2562,2562B
4764Z,Commerce de détail d'articles de sport en magasin spécialisé,5,47,476,4764,4764Z
6820B,Location de terrains et d'autres biens immobiliers,5,68,682,6820,6820B
4663Z,"Comm de gros de machines pour l'extrac, la constr, le génie civil",5,46,466,4663,4663Z
1107B,Production de boissons rafraîchissantes,5,11,110,1107,1107B
4759A,Commerce de détail de meubles,5,47,475,4759,4759A
6831Z,Agences immobilières,5,68,683,6831,6831Z
4673B,Commerce de gros d'appareils sanitaires et produits de décoration,5,46,467,4673,4673B
6920Z,Activités comptables,5,69,692,6920,6920Z
4776Z,"Comm. dét. fleurs, plantes, etc, animaux de cie et leurs aliments",5,47,477,4776,4776Z
4711F,Hypermarchés,5,47,471,4711,4711F
6420Z,Activités des sociétés holding,5,64,642,6420,6420Z
8553Z,Enseignement de la conduite,5,85,855,8553,8553Z
4781Z,Commerce de détail alimentaire sur éventaires et marchés,5,47,478,4781,4781Z
4329A,Travaux d'isolation,5,43,432,4329,4329A
5510Z,Hôtels et hébergement similaire,5,55,551,5510,5510Z
4519Z,Commerce d'autres véhicules automobiles,5,45,451,4519,4519Z
4642Z,Commerce de gros d'habillement et de chaussures,5,46,464,4642,4642Z
6920Z,Activités comptables,5,69,692,6920,6920Z
NA,NA,NA,NA,NA,NA,NA
6820B,Location de terrains et d'autres biens immobiliers,5,68,682,6820,6820B
6832A,Administration d'immeubles et autres biens immobiliers,5,68,683,6832,6832A
4332A,Travaux de menuiserie bois et PVC,5,43,433,4332,4332A
4321A,Travaux d'installation électrique dans tous locaux,5,43,432,4321,4321A
4743Z,Commerce de détail de matériels audio/vidéo en magasin spécialisé,5,47,474,4743,4743Z
4771Z,Commerce de détail d'habillement en magasin spécialisé,5,47,477,4771,4771Z
4531Z,Commerce de gros d'équipements automobiles,5,45,453,4531,4531Z
7010Z,Activités des sièges sociaux,5,70,701,7010,7010Z
7112B,"Ingénierie, études techniques",5,71,711,7112,7112B
4761Z,Commerce de détail de livres en magasin spécialisé,5,47,476,4761,4761Z
5610A,Restauration traditionnelle,5,56,561,5610,5610A
6420Z,Activités des sociétés holding,5,64,642,6420,6420Z
7010Z,Activités des sièges sociaux,5,70,701,7010,7010Z
1721B,Fabrication de cartonnages,5,17,172,1721,1721B
9001Z,Arts du spectacle vivant,5,90,900,9001,9001Z
9329Z,Autres activités récréatives et de loisirs,5,93,932,9329,9329Z
NA,NA,NA,NA,NA,NA,NA
6820A,Location de logements,5,68,682,6820,6820A
4759A,Commerce de détail de meubles,5,47,475,4759,4759A
6810Z,Activités des marchands de biens immobiliers,5,68,681,6810,6810Z
