year,siren,"Reprises sur amortissements et provisions, transfert de charges",Reprises sur provisions et transferts de charges financier,Reprises sur provisions et transferts de charges exceptionnel,Achats de marchandises (y compris droits de douane),Achats de matières premières et autres approvisionnements,Autres achats et charges externes,Salaires et traitements,Charges sociales
2012,5980016,12895,7622,NA,NA,171193,1167216,823640,394435
2012,36820348,1592,NA,NA,484063,4264,351540,NA,41865
2012,58807413,NA,NA,NA,NA,NA,1568,NA,NA
2012,64802101,NA,NA,NA,NA,NA,6162,NA,NA
2012,85581494,9906113,NA,1089794,26581980,235207523,76272913,11931171,4998164
2012,86080702,21761,NA,NA,2451253,NA,782674,512742,191106
2012,300817087,1680,NA,NA,NA,NA,56062,69417,26178
2012,301420469,6468630,8779,167580,28066989,504651,NA,6698808,2802988
2012,302137435,127102,NA,NA,NA,NA,1409219,2542806,1127463
2012,302454350,NA,NA,NA,123561,5350,66389,34907,6028
2012,302517917,140913,NA,142871,32559659,NA,4146629,3030675,969373
2012,302565049,200,NA,20298,NA,87,737984,795789,267167
2012,302640453,NA,NA,NA,NA,NA,117991,196415,81677
2012,304557861,17809,NA,NA,NA,13387,362497,218313,74792
2012,305118945,144846,204372,NA,NA,1238630,1802641,960459,608305
2012,305306177,NA,NA,1248,NA,NA,73591,13745,5013
2012,305663296,15002,NA,NA,3783961,NA,418002,270216,80036
2012,305821225,302445,3361,NA,NA,60325,2720750,2170603,1013343
2012,306138868,14425,NA,NA,NA,NA,96544,213825,74167
2012,307047910,4435,NA,NA,NA,NA,183432,26709,11408
2012,308338383,NA,NA,NA,NA,NA,12934,NA,NA
2012,308800556,NA,NA,NA,NA,NA,4599,NA,NA
2012,309172518,3289,NA,NA,215071,NA,89094,165484,72005
2012,309382661,NA,NA,NA,NA,34630,12090,25377,11346
2012,309989705,NA,NA,NA,614129,NA,279774,NA,NA
2012,311059034,NA,NA,NA,289439,NA,NA,97234,38283
2012,311349500,NA,NA,NA,NA,2190,33713,13243,9967
2012,312197130,398881,350000,2393,-749119,NA,4120195,NA,NA
2012,313549891,NA,NA,NA,NA,NA,500,NA,NA
2012,313671109,28153,NA,NA,453083,576,NA,52392,18129
2012,314239021,NA,NA,NA,NA,22462,29071,31687,13207
2012,314419466,NA,NA,NA,NA,NA,5611,NA,NA
2012,314889544,8280,NA,NA,NA,NA,1163221,254880,106492
2012,314974585,NA,NA,NA,NA,41241,84363,120318,49868
2012,315250878,11175,NA,NA,1983,171791,NA,13342,2864
2012,316190172,NA,NA,NA,NA,NA,58960,20767,9825
2012,316916790,NA,NA,NA,NA,NA,30266,NA,NA
2012,317409423,NA,NA,NA,NA,NA,354406,NA,NA
2012,317782571,1522,NA,NA,220265,NA,88249,107091,38970
2012,318843240,NA,NA,NA,NA,NA,240,NA,NA
2012,318908621,NA,NA,NA,3096,NA,16879,NA,NA
2012,319427126,NA,4737,NA,NA,402851,159716,587087,226430
2012,319528444,NA,NA,NA,NA,NA,2720,NA,NA
2012,319567426,1715,NA,NA,NA,NA,102180,NA,NA
2012,319673281,8068,NA,NA,NA,NA,54236,59203,24653
2012,319773172,NA,NA,NA,241268,NA,181003,63726,23857
2012,320378144,NA,NA,11730,NA,NA,704817,NA,NA
2012,320772510,1894419,5463390,7128976,135878879,NA,142325954,133661059,48170975
2012,321111999,9618,NA,NA,NA,2985416,1134571,1241466,548573
2012,322131830,NA,NA,NA,66312,NA,19770,234,NA
2012,322202250,8977,NA,NA,NA,1219,131147,280107,121813
2012,322366600,NA,NA,NA,NA,NA,245071,NA,NA
2012,322566092,180185,NA,NA,821979,323,78734,155253,70489
2012,322983420,NA,NA,185384,NA,331176,462718,671108,293783
2012,323790949,NA,NA,NA,NA,NA,540,12000,3153
2012,324081439,60216,NA,NA,8099728,4603,722514,712310,NA
2012,325114064,3374,NA,NA,76796,NA,438861,116573,40470
2012,325528057,2083,4972,NA,NA,NA,233164,148072,69641
2012,325931970,NA,NA,NA,NA,NA,212401,61308,36667
2012,325932093,NA,NA,NA,NA,NA,14052,44466,3897
2012,326332483,114008,NA,55000,NA,57362,2668732,1551272,459302
2012,326638061,7869,NA,NA,NA,NA,349308,687609,309685
2012,326715893,6051,NA,NA,NA,NA,548145,297744,92626
2012,326716040,29112,NA,NA,716926,11892,419779,115204,22930
2012,326717543,20000,NA,NA,NA,18856,24617,16865,5977
