siren,Chiffres d’affaires nets,"Impôts, taxes et versements assimilés"
5980016,2437311,47428
36820348,956901,15860
58807413,24000,654
64802101,NA,8117
85581494,367220889,2293351
86080702,4664794,162589
300817087,120388,3057
301420469,68154341,957859
302137435,6164853,148682
302454350,330714,3856
302517917,42201022,590029
302565049,2462113,206934
302640453,459960,4769
304557861,1937719,9930
305118945,4614938,76518
305306177,328338,29264
305663296,NA,NA
305821225,16882995,256782
306138868,400268,8978
307047910,789416,69102
308338383,56293,8235
308800556,6812,1701
309172518,429891,8102
309382661,64753,401
309989705,929988,5541
311059034,569762,3297
311349500,209160,2419
312197130,6396718,57557
313549891,NA,775
313671109,550979,4023
314239021,113779,6548
314419466,56573,2781
314889544,1576733,53631
314974585,490212,3725
315250878,510843,9457
316190172,191681,3473
316916790,NA,NA
317409423,531708,36095
317782571,501574,19745
318843240,NA,11901
318908621,NA,2235
319427126,1514083,15439
319528444,NA,NA
319567426,109002,1259
319673281,147755,1419
319773172,515001,2913
320378144,4576179,359254
320772510,511576510,15221247
321111999,6473173,101691
322131830,106675,648
322202250,1865557,8625
322366600,2620175,117138
322566092,1242787,10847
322983420,1547699,21494
323790949,NA,2244
324081439,9600927,37031
325114064,1347195,17837
325528057,492358,6732
325931970,468919,7715
325932093,65000,601
326332483,24564309,251228
326638061,1583722,21853
326715893,1059755,5775
326716040,1396293,6327
326717543,59336,1712
326765914,997098,25238
326923414,29297,588
326979770,38864,NA
327796124,119505,71
327822482,198729,1965
327893228,250508,NA
327977153,2674671,10890
328170337,2275929,23568
328223615,684891,4880
328263371,743847,7748
328398862,3892265,42003
328612197,371589,1614
328986849,4575242,77516
329025365,82393,2899
329922785,610339,4562
330430646,NA,137238
330598202,51324685,726019
330714569,2839529,19483
331456012,NA,965
331476671,2524289,2860
331662916,8455,71
331832675,46963286,206837
332626860,276948,4925
333072833,6488287,52901
333306801,5583840,177385
333385037,2126579,38119
333634160,6769260,178401
333821528,900061,11556
334203999,413232,8598
334501335,1785528,29694
334515038,NA,NA
334766599,29149,2120
335039145,4744326,179505
338029994,NA,636
338224629,12064130,300984
5720651,NA,6535
5980016,2047636,32812
35720036,1249855,99607
36820348,575451,15565
36920643,3063208,22612
37220852,112447,521
55806673,3786451,208569
55808034,172585,2049
57801342,139327,20914
57815839,NA,NA
58807413,24000,660
62802186,160584,10546
66309808,891584,5085
66801655,NA,NA
67800946,NA,1220
70805320,2030660,71827
85581494,415975405,2535145
85780971,2729788,43984
86080702,4985550,200433
87280954,10926,645
300068640,2023610,4277
300094794,3429638,86623
300153608,758823,5597
300218468,17930364,484925
300218815,2614487,51234
300426046,22330483,380739
300609104,1952262,18360
300644838,2102858,23963
300747391,2589685,26931
300817087,129585,2502
301171013,1169288,19396
301222378,4705638,22432
301340873,515064,15252
301420469,65016112,973725
301460861,78255,3922
301546230,355957,8679
302020177,37713888,375476
302021357,815434,9739
302137435,6383983,158593
302304373,4442922,36599
302387261,10320262,277410
302395496,1740629,23423
302454350,301343,7933
302517917,41750075,591604
302565049,3201770,157363
302640453,512190,5283
303159909,6707116,83324
303218291,820438,7827
303291645,1949124,31716
303301691,11859906,215538
303322408,23972847,383833
303679815,393079,9120
304292451,802743,70211
304351778,506431,3427
304429772,4882522,66491
304486897,6765000,189774
304489511,397619,22158
304557861,1907168,11763
304604101,84615,8127
304803851,2460267,16204
304851595,NA,3287
304915119,NA,NA
305118945,4197054,63176
305304479,2926124,27231
305306177,41544,29927
305365462,2443224,111558
305663296,NA,22534
305810624,724661,NA
305821225,16679459,246258
306092669,29935338,447114
306138868,431505,9338
306461666,262346,7998
306461716,423314,5023
306733775,647803,34598
307033969,179374,20749
307047910,822396,72244
307132001,125413653,1731478
307165993,10586773,62615
307277129,6291193,223317
307330902,112528,13996
307772269,3380347,49299
308093269,782581,8828
308338383,57726,8236
308800556,7898,1883
309095396,1218841,20294
309172518,595321,8316
309318566,1356448,19750
309344729,1161661,29914
309382661,74433,398
309467397,7036807,111609
309494953,54905816,NA
309693612,3026402,39346
309931830,1685243,10844
309932580,3892450,37850
309989705,914609,NA
310290663,19457,1459
310455928,82565,19329
310517693,896919,11194
310530068,NA,NA
310552617,226025,53310
5720651,NA,6719
5750583,5106853,39377
5980016,1817855,25070
6280309,21607044,213574
7050123,574422,15256
17150947,233468,2627
24066193,10691762,111725
25880626,4743828,96675
35620079,510245,81308
35621226,906722,37253
35720036,1221121,99411
35720523,265874,-858
35721810,971913,14221
36020212,10976,NA
36220150,5053941,410850
36520815,2194134,3758
36820348,528758,13984
36920643,2933462,17459
37120284,1682708,33660
37120680,193364,5009
37150182,1194293,143119
37221447,95212,674
54801824,58127,3373
55806673,3822769,230220
55808034,155333,1921
55809404,28642155,1182609
56802499,17068731,397192
57801342,138430,21625
57809162,98900,2329
57815839,NA,NA
57817264,19156969,152098
58803396,1652622,12826
58807413,22500,381
60801099,15774628,228871
61804225,415596,91861
62802186,93492,10233
63803654,363875,59883
66304148,1511674,7425
66309808,962815,4386
66801655,NA,NA
67800946,NA,1220
67802660,83462,930
70805320,2108131,57421
73800427,NA,24971
76620194,146926,10451
76820521,3041627,NA
