year,siren,Chiffres d’affaires nets,"Impôts, taxes et versements assimilés",Résultat d'exploitation,Résultat financier,Résultat en cours avant impôts,Résultat exceptionnel,Bénéfices ou perte (Total des produits ‐ Total des charges)
2012,5980016,2437311,47428,NA,76200,-135978,-2852,NA
2012,36820348,956901,15860,-103857,-3599,-107456,89715,-17741
2012,58807413,24000,654,19715,NA,19715,NA,16758
2012,64802101,NA,8117,-17726,-269,-17994,NA,-17994
2012,85581494,367220889,2293351,NA,2971367,14985642,1005074,9235297
2012,86080702,4664794,162589,388770,60482,449252,5708,310131
2012,300817087,120388,3057,-38372,-3362,-41734,2869,-38865
2012,301420469,68154341,957859,8673378,2188180,10861558,NA,NA
2012,302137435,6164853,148682,837528,28453,865981,3265,NA
2012,302454350,330714,3856,15078,-3029,12049,5,10246
2012,302517917,42201022,590029,NA,84539,793281,44483,512144
2012,302565049,2462113,206934,108441,5830049,6187957,10541,5825196
2012,302640453,459960,4769,23228,-587,22641,-513,18719
2012,304557861,1937719,9930,-7251,1734,-5517,22373,14323
2012,305118945,4614938,76518,-53548,58889,5341,-62992,NA
2012,305306177,328338,29264,178535,-54,178481,-194424,-15943
2012,305663296,NA,NA,NA,-39753,13600,-1959,11640
2012,305821225,16882995,256782,-679028,NA,-641717,-83331,-721048
2012,306138868,400268,8978,6108,-2694,3414,-6,2923
2012,307047910,789416,69102,395744,606,NA,NA,259678
2012,308338383,56293,8235,34593,-30,34563,-30,23022
2012,308800556,6812,1701,512,NA,487,NA,414
2012,309172518,429891,8102,13663,-22012,-8349,10745,3996
2012,309382661,64753,401,-19094,5,-19088,NA,-19088
2012,309989705,929988,5541,7604,-556,7048,-1292,4635
2012,311059034,569762,3297,-5321,-3661,-8981,NA,-8981
2012,311349500,209160,2419,NA,NA,871,-220,651
2012,312197130,6396718,57557,3013825,448860,5329580,NA,3563808
2012,313549891,NA,775,-1320,-437,-1758,-5073,-6831
2012,313671109,550979,4023,5022,-1741,3281,151,2917
2012,314239021,113779,6548,92330,706,8527,NA,8527
2012,314419466,56573,2781,47952,7586,55538,NA,44014
2012,314889544,1576733,53631,-157033,63832,-93201,15199,-166523
2012,314974585,490212,3725,18742,1807,20549,-1173,19376
2012,315250878,510843,9457,9935,78,10012,-119,7778
2012,316190172,191681,3473,-7006,NA,-7006,5753,-1252
2012,316916790,NA,NA,-30265,1378,27331,NA,27331
2012,317409423,531708,36095,128950,-5762,123188,63,123252
2012,317782571,501574,19745,6967,443,7411,NA,7411
2012,318843240,NA,11901,-10853,-21716,-32569,NA,-32569
2012,318908621,NA,2235,-6031,-2613,-8644,-90,-8734
2012,319427126,1514083,15439,NA,-3689,138187,2202,98536
2012,319528444,NA,NA,-2720,NA,-2720,NA,-2720
2012,319567426,109002,1259,5874,9484,15671,152,13450
2012,319673281,147755,1419,15895,13323,29218,NA,24835
2012,319773172,515001,2913,7017,-5309,1708,-1117,315
2012,320378144,4576179,359254,2914413,-22381,2897321,10105,2907427
2012,320772510,511576510,15221247,18424430,-1337369,19994469,-5349591,7029296
2012,321111999,6473173,101691,NA,59957,304637,NA,NA
2012,322131830,106675,648,6165,NA,6165,NA,5240
2012,322202250,1865557,8625,47880,4344,52224,1413,42859
2012,322366600,2620175,117138,1841397,-32748,1867285,-382,1866903
2012,322566092,1242787,10847,82802,8566,91368,-56777,29302
2012,322983420,1547699,21494,-298645,13276,NA,178720,NA
2012,323790949,NA,2244,-23079,NA,-23079,NA,-23079
