year,siren,Total des produits d’exploitation,Total des produits financiers,Total des produits exceptionnels,Autres produits
2012,5980016,2426535,76408,NA,NA
2012,36820348,959137,NA,90000,644
2012,58807413,24000,NA,NA,NA
2012,64802101,NA,NA,NA,NA
2012,85581494,378875270,4188674,1518430,81051
2012,86080702,4688353,96225,NA,1799
2012,300817087,122133,1,9000,65
2012,301420469,75056297,2642153,910907,24080
2012,302137435,6328756,48611,5145,5099
2012,302454350,330718,NA,139,4
2012,302517917,42392624,235888,143221,50689
2012,302565049,2462511,NA,52262,196
2012,302640453,459960,NA,7747,NA
2012,304557861,1957838,6166,NA,104
2012,305118945,4809520,246425,2522,5
2012,305306177,328338,NA,1248,NA
2012,305663296,4813761,6802,110602,1125
2012,305821225,17355547,284274,NA,170107
2012,306138868,416256,NA,NA,562
2012,307047910,793851,606,1,NA
2012,308338383,56294,NA,NA,1
2012,308800556,6812,NA,NA,NA
2012,309172518,571525,NA,18646,3011
2012,309382661,64753,NA,NA,NA
2012,309989705,930218,NA,NA,230
2012,311059034,569766,NA,NA,4
2012,311349500,209160,NA,NA,NA
2012,312197130,6795600,NA,77150,NA
2012,313549891,NA,NA,NA,NA
2012,313671109,579132,NA,159,NA
2012,314239021,113780,2,NA,1
2012,314419466,56573,7639,NA,NA
2012,314889544,1585013,NA,NA,NA
2012,314974585,491059,2193,NA,847
2012,315250878,542213,85,1,NA
2012,316190172,191684,NA,9881,3
2012,316916790,NA,1378,NA,NA
2012,317409423,531710,NA,NA,2
2012,317782571,507388,3782,NA,4291
2012,318843240,1750,6562,NA,1750
2012,318908621,28691,NA,NA,28691
2012,319427126,1592310,7699,NA,78227
2012,319528444,NA,NA,NA,NA
2012,319567426,110717,NA,232,NA
2012,319673281,155823,NA,NA,NA
2012,319773172,515004,NA,NA,3
2012,320378144,4576180,4368,11730,1
2012,320772510,516011985,5834227,11323862,566472
2012,321111999,NA,NA,17584,960
2012,322131830,NA,NA,NA,257
2012,322202250,1875173,4344,NA,NA
2012,322366600,2620177,NA,70,3
2012,322566092,NA,10960,45251,7
2012,322983420,1679566,13276,NA,NA
2012,323790949,NA,NA,NA,NA
2012,324081439,9661163,142616,26373,20
2012,325114064,NA,NA,65878,NA
2012,325528057,494843,4972,169129,402
2012,325931970,468919,NA,NA,NA
2012,325932093,68836,2,NA,3836
2012,326332483,24683601,NA,109951,3450
2012,326638061,1598340,NA,9303,3082
2012,326715893,1067042,5,NA,4107
2012,326716040,NA,NA,NA,NA
2012,326717543,79336,334,NA,NA
2012,326765914,1005958,100,98146,460
2012,326923414,29297,NA,NA,NA
2012,326979770,39707,NA,81,NA
2012,327796124,119505,NA,NA,NA
2012,327822482,199113,NA,NA,384
2012,327893228,252685,NA,NA,2177
2012,327977153,2722002,NA,850,1012
2012,328170337,2305680,NA,NA,12811
2012,328223615,649441,NA,NA,127
2012,328263371,758553,12595,NA,1041
2012,328398862,NA,26746,2030,1745
2012,328612197,375541,NA,NA,5
2012,328986849,4664416,6635,21593,531
2012,329025365,131541,NA,52304,49148
2012,329922785,622751,3198,266,25
2012,330430646,2406323,NA,843014,NA
2012,330598202,52353636,24396,294687,551485
2012,330714569,NA,NA,13792,3
2012,331456012,NA,41117,NA,NA
2012,331476671,2532126,16,NA,2494
2012,331662916,8455,NA,NA,1
2012,331832675,46963597,432657,NA,311
2012,332626860,283142,NA,9514,4
2012,333072833,6494552,NA,46739,3669
2012,333306801,5597298,205,47636,149
2012,333385037,2111807,4,NA,2
2012,333634160,6926886,NA,496544,NA
2012,333821528,919605,4053,31222,62
2012,334203999,413980,NA,NA,748
2012,334501335,1853691,NA,NA,NA
2012,334515038,NA,NA,NA,NA
2012,334766599,29149,NA,NA,NA
2012,335039145,4804165,6135,31341,NA
2012,338029994,NA,2,NA,NA
2012,338224629,12369948,NA,83507,2433
2013,5720651,72320,NA,44374,72320
2013,5980016,2119686,NA,NA,16
2013,35720036,1249956,NA,NA,101
2013,36820348,578490,NA,60000,66
2013,36920643,3120903,260,NA,38176
2013,37220852,112537,NA,NA,90
2013,55806673,3809562,NA,15096,23
2013,55808034,NA,NA,77,2425
2013,57801342,140842,NA,40,NA
2013,57815839,NA,1116,NA,NA
2013,58807413,24000,NA,NA,NA
2013,62802186,226059,NA,NA,65476
2013,66309808,892233,NA,846,648
2013,66801655,NA,NA,NA,NA
2013,67800946,7388,49286,NA,7388
2013,70805320,2059986,NA,NA,NA
2013,85581494,429061213,7269379,507824,42348
2013,85780971,2731027,2418,27342,168
2013,86080702,5041842,98618,1411,782
2013,87280954,10926,NA,NA,NA
2013,300068640,2359406,NA,NA,46
2013,300094794,3434141,13706,31344,45
2013,300153608,818709,9669,NA,106
2013,300218468,18564568,11472,84595,125
2013,300218815,2619134,2203,NA,4647
2013,300426046,23130608,121339,NA,-40580
2013,300609104,NA,392,NA,NA
2013,300644838,2112125,267,NA,4429
2013,300747391,2592628,46551,NA,113
2013,300817087,130936,1,NA,79
2013,301171013,1170400,NA,NA,157
2013,301222378,4722227,44766,NA,707
2013,301340873,519678,14430,874,2
2013,301420469,72552409,2521589,210367,6854
2013,301460861,78255,NA,NA,NA
2013,301546230,362209,729,NA,1
2013,302020177,37898506,18906,230142,30518
2013,302021357,823710,NA,NA,4
2013,302137435,6486030,46892,67892,3672
2013,302304373,4448654,66217,122354,5731
2013,302387261,10333367,NA,NA,13106
2013,302395496,1794777,7867,NA,2121
2013,302454350,301844,NA,522,502
2013,302517917,41981461,82264,796120,65315
2013,302565049,3214328,5739080,7142,11358
2013,302640453,512190,NA,4426,NA
2013,303159909,6794809,NA,9216,3180
2013,303218291,826915,54,53125,677
2013,303291645,1956995,NA,NA,7443
2013,303301691,11997188,61276,30000,2012
2013,303322408,24754033,643603,150000,11544
2013,303679815,NA,229,NA,73
2013,304292451,802743,729548,NA,NA
2013,304351778,509241,3225,NA,NA
2013,304429772,4923727,19648,NA,32845
2013,304486897,6860922,NA,67508,2035
2013,304489511,340138,132,NA,159
2013,304557861,1922309,3536,NA,87
2013,304604101,84615,7319,NA,NA
2013,304803851,2595692,NA,NA,16737
2013,304851595,NA,NA,NA,NA
