siren,denomination,postal_code,town,ape
5980016,SOCIETE NAZAIRIENNE DE MECANIQUE,44550,MONTOIR-DE-BRETAGNE,2562B
36820348,RIO FRANCE,06160,JUAN-LES-PINS,4764Z
58807413,SARL O MONACO,13001,MARSEILLE (1ER),6820B
64802101,SOMATRAP - SOCIETE DE MATERIEL INDUSTRIEL DE TRAVAUX PUBLICS,30100,ALES,4663Z
85581494,LAITERIE DE SAINT DENIS DE L'HOTEL,45550,SAINT DENIS DE L'HOTEL,1107B
86080702,S.A.S. MEUBLES SICOT,45160,OLIVET,4759A
300817087,AGENCE BOURGOGNE PUISAYE,89130,TOUCY,6831Z
301420469,TEXDECOR,59780,WILLEMS,4673B
302137435,SAGECO,33501,LIBOURNE,6920Z
302454350,BOUQUET'S MONTPARNASSE,75006,PARIS,4776Z
302517917,SOCIETE DE DISTRIBUTION DU NORD VENDEE,85600,MONTAIGU,4711F
302565049,COMPAGNIE D'INVESTISSEMENTS INDUSTRIELS ET COMMERCIAUX - C I,95310,SAINT OUEN L'AUMONE,6420Z
302640453,AR-MEN FORMATION,94130,NOGENT SUR MARNE,8553Z
304557861,POISSONNERIE MAUGER,28400,NOGENT-LE-ROTROU,4781Z
305118945,DELAUNAY SAS,60134,VILLERS-SAINT-SEPULCRE,4329A
305306177,BERDAL TOURISTIQUE,97232,LE,5510Z
305663296,BROUSSE LOISIRS,80000,AMIENS,4519Z
305821225,DIFAC,67960,ENTZHEIM,4642Z
306138868,FIT EXPERTISE,30000,NIMES,6920Z
307047910,NA,NA,NA,NA
308338383,S.I.B.,95310,ST OUEN L AUMONE,6820B
308800556,SOCIETE IMMOBILIERE ET MOBILIERE ANREP SIMA,16120,BONNEUIL,6832A
309172518,SOPOMEST,67118,GEISPOLSHEIM,4332A
309382661,SAUVAGET ELECTRICITE,44860,SAINT-AIGNAN DE GRAND LIEU,4321A
309989705,CENTRE TECHNIQUE AUDIO,75015,PARIS,4743Z
311059034,KIM AND KIM,75006,PARIS,4771Z
311349500,BHARMAL EXPORT,92110,CLICHY LA GARENNE,4531Z
312197130,PIZZA PAI INTERNATIONAL,59650,VILLENEUVE-D ASCQ,7010Z
313549891,SOCIETE PEINTURE ET ETUDES ARCHITECTURALES,95880,ENGHIEN LES BAINS,7112B
313671109,LIBRAIRIE GAIA,83200,TOULON,4761Z
314239021,BAR PIZZERIA DE L EUROPE,76200,DIEPPE,5610A
314419466,MY LINH,17000,LA ROCHELLE,6420Z
314889544,EVOLIS,59230,SARS-ET-ROSIERES,7010Z
314974585,ARTISTA SOCIETE D'EXPLOITATION,75005,PARIS,1721B
315250878,SOCIETE NOUVELLE ARTISTIC VOLTAIRE,75011,PARIS,9001Z
316190172,SOCIETE MARSEILLAISE D'EXPLOITATION ET DE COURTAGE,13420,GEMENOS,9329Z
