year,siren,Subventions d’exploitation
2012,5980016,NA
2012,36820348,NA
2012,58807413,NA
2012,64802101,NA
2012,85581494,28390
2012,86080702,NA
2012,300817087,NA
2012,301420469,103580
2012,302137435,NA
2012,302454350,NA
2012,302517917,NA
2012,302565049,NA
2012,302640453,NA
2012,304557861,2206
2012,305118945,8394
2012,305306177,NA
2012,305663296,NA
2012,305821225,NA
2012,306138868,1000
2012,307047910,NA
2012,308338383,NA
2012,308800556,NA
2012,309172518,NA
2012,309382661,NA
2012,309989705,NA
2012,311059034,NA
2012,311349500,NA
2012,312197130,NA
2012,313549891,NA
2012,313671109,NA
2012,314239021,NA
2012,314419466,NA
2012,314889544,NA
2012,314974585,NA
2012,315250878,20195
2012,316190172,NA
2012,316916790,NA
2012,317409423,NA
2012,317782571,NA
2012,318843240,NA
2012,318908621,NA
2012,319427126,NA
2012,319528444,NA
2012,319567426,NA
2012,319673281,NA
2012,319773172,NA
2012,320378144,NA
2012,320772510,357130
2012,321111999,NA
2012,322131830,NA
2012,322202250,639
2012,322366600,NA
2012,322566092,NA
2012,322983420,26317
2012,323790949,NA
2012,324081439,NA
2012,325114064,NA
2012,325528057,NA
2012,325931970,NA
2012,325932093,NA
2012,326332483,1835
2012,326638061,3667
2012,326715893,NA
2012,326716040,NA
2012,326717543,NA
2012,326765914,NA
2012,326923414,NA
2012,326979770,NA
2012,327796124,NA
2012,327822482,NA
2012,327893228,NA
2012,327977153,21791
2012,328170337,NA
2012,328223615,NA
2012,328263371,4375
2012,328398862,NA
2012,328612197,NA
2012,328986849,NA
2012,329025365,NA
2012,329922785,NA
2012,330430646,NA
2012,330598202,8192
2012,330714569,4000
2012,331456012,NA
2012,331476671,NA
2012,331662916,NA
2012,331832675,NA
2012,332626860,363
2012,333072833,NA
2012,333306801,NA
2012,333385037,NA
2012,333634160,120
2012,333821528,3341
2012,334203999,NA
2012,334501335,1300
2012,334515038,NA
2012,334766599,NA
2012,335039145,1725
2012,338029994,NA
2012,338224629,1000
2013,5720651,NA
2013,5980016,NA
2013,35720036,NA
2013,36820348,NA
2013,36920643,2644
2013,37220852,NA
2013,55806673,70
2013,55808034,NA
2013,57801342,NA
2013,57815839,NA
2013,58807413,NA
2013,62802186,NA
2013,66309808,NA
2013,66801655,NA
2013,67800946,NA
2013,70805320,NA
2013,85581494,38491
2013,85780971,1500
2013,86080702,NA
2013,87280954,NA
2013,300068640,NA
2013,300094794,NA
2013,300153608,NA
2013,300218468,NA
2013,300218815,NA
2013,300426046,NA
2013,300609104,NA
2013,300644838,NA
2013,300747391,NA
2013,300817087,NA
2013,301171013,NA
2013,301222378,NA
2013,301340873,NA
2013,301420469,115708
2013,301460861,NA
2013,301546230,NA
2013,302020177,2800
2013,302021357,NA
2013,302137435,5483
2013,302304373,NA
2013,302387261,NA
2013,302395496,NA
2013,302454350,NA
2013,302517917,NA
2013,302565049,NA
2013,302640453,NA
2013,303159909,3397
2013,303218291,NA
2013,303291645,NA
2013,303301691,NA
2013,303322408,NA
2013,303679815,394
2013,304292451,NA
2013,304351778,NA
2013,304429772,NA
2013,304486897,20737
2013,304489511,NA
2013,304557861,2188
2013,304604101,NA
2013,304803851,9800
2013,304851595,NA
2013,304915119,NA
2013,305118945,833
2013,305304479,NA
2013,305306177,NA
2013,305365462,2613
2013,305663296,NA
2013,305810624,NA
2013,305821225,NA
2013,306092669,46750
2013,306138868,NA
2013,306461666,NA
2013,306461716,NA
2013,306733775,NA
2013,307033969,NA
2013,307047910,NA
2013,307132001,1000
2013,307165993,NA
2013,307277129,NA
2013,307330902,NA
2013,307772269,NA
2013,308093269,NA
2013,308338383,NA
2013,308800556,NA
2013,309095396,NA
2013,309172518,NA
2013,309318566,NA
2013,309344729,NA
2013,309382661,NA
2013,309467397,4550
2013,309494953,1400
2013,309693612,NA
2013,309931830,NA
2013,309932580,NA
2013,309989705,NA
2013,310290663,NA
2013,310455928,NA
2013,310517693,NA
2013,310530068,NA
2013,310552617,NA
2014,5720651,NA
2014,5750583,NA
2014,5980016,17913
2014,6280309,NA
2014,7050123,NA
2014,17150947,NA
2014,24066193,NA
2014,25880626,NA
2014,35620079,NA
2014,35621226,NA
2014,35720036,NA
2014,35720523,NA
2014,35721810,NA
2014,36020212,NA
2014,36220150,NA
2014,36520815,NA
2014,36820348,NA
2014,36920643,210
2014,37120284,NA
2014,37120680,NA
2014,37150182,NA
2014,37221447,NA
2014,54801824,NA
2014,55806673,NA
2014,55808034,NA
2014,55809404,NA
2014,56802499,34864
2014,57801342,NA
2014,57809162,NA
2014,57815839,NA
2014,57817264,NA
2014,58803396,NA
2014,58807413,NA
2014,60801099,NA
2014,61804225,NA
2014,62802186,NA
2014,63803654,NA
2014,66304148,NA
2014,66309808,NA
2014,66801655,NA
2014,67800946,NA
2014,67802660,NA
2014,70805320,NA
2014,73800427,NA
2014,76620194,NA
2014,76820521,NA
2014,77220085,NA
2014,85581494,336019
2014,86020013,78283
2014,86080702,NA
2014,87280954,NA
2014,87320065,NA
2014,94130465,NA
2014,95550497,NA
2014,97150353,1400
2014,300068640,NA
2014,300094190,NA
2014,300094794,NA
2014,300108636,NA
2014,300153608,NA
2014,300209095,NA
2014,300218468,NA
2014,300218815,NA
2014,300220985,NA
2014,300268240,NA
2014,300300084,NA
2014,300344975,NA
2014,300426046,NA
2014,300459211,NA
2014,300498904,NA
2014,300536448,NA
2014,300586476,NA
2014,300601648,2200
2014,300609104,NA
2014,300643418,NA
2014,300644838,NA
2014,300747391,NA
2014,300817087,NA
2014,300822772,NA
2014,300862562,NA
2014,300961356,NA
2014,300962180,NA
2014,300990306,NA
2014,301009940,NA
2014,301030938,NA
2014,301099537,NA
2014,301164315,NA
2014,301166138,6000
2014,301171013,NA
2014,301171138,NA
2014,301171435,NA
2014,301222378,NA
2014,301239661,NA
2014,301242178,NA
2014,301271565,3124
2014,301310645,NA
2014,301330486,NA
2014,301340873,NA
2014,301392304,NA
2014,301420469,238275
2015,5450119,NA
2015,5720651,NA
2015,5750377,NA
