siren,Total des produits d’exploitation,Total des produits financiers,Total des produits exceptionnels,Autres produits
414381475,2411355,6911,NA,535
420210577,356326,NA,34427,NA
527710172,873976,NA,2078,1505
420210577,273419,NA,NA,38
492952080,25380,NA,NA,NA
392031902,362454,NA,NA,NA
420210577,NA,NA,NA,6
499494821,112573,NA,NA,NA
500031919,NA,8,NA,NA
524584810,21600,NA,NA,NA
381350685,NA,NA,11400,NA
392031902,270649,789,NA,NA
420210577,87334,NA,50,40
421635939,1342549,NA,NA,152
428208193,400,NA,NA,NA
431747450,50089,8,NA,13
500031919,NA,3642,NA,NA
503436040,28095800,-3,NA,465
509289203,598994,12219,5345,4
512195744,1,NA,NA,1
527866529,61738,NA,NA,NA
5980016,2426535,76408,NA,NA
36820348,959137,NA,90000,644
58807413,24000,NA,NA,NA
64802101,NA,NA,NA,NA
85581494,378875270,4188674,1518430,81051
86080702,4688353,96225,NA,1799
300817087,122133,1,9000,65
301420469,75056297,2642153,910907,24080
302137435,6328756,48611,5145,5099
302454350,330718,NA,139,4
302517917,42392624,235888,143221,50689
302565049,2462511,NA,52262,196
302640453,459960,NA,7747,NA
304557861,1957838,6166,NA,104
305118945,4809520,246425,2522,5
305306177,328338,NA,1248,NA
305663296,4813761,6802,110602,1125
305821225,17355547,284274,NA,170107
306138868,416256,NA,NA,562
307047910,793851,606,1,NA
308338383,56294,NA,NA,1
308800556,6812,NA,NA,NA
309172518,571525,NA,18646,3011
309382661,64753,NA,NA,NA
309989705,930218,NA,NA,230
311059034,569766,NA,NA,4
311349500,209160,NA,NA,NA
312197130,6795600,NA,77150,NA
313549891,NA,NA,NA,NA
313671109,579132,NA,159,NA
314239021,113780,2,NA,1
314419466,56573,7639,NA,NA
314889544,1585013,NA,NA,NA
314974585,491059,2193,NA,847
315250878,542213,85,1,NA
316190172,191684,NA,9881,3
316916790,NA,1378,NA,NA
317409423,531710,NA,NA,2
317782571,507388,3782,NA,4291
318843240,1750,6562,NA,1750
318908621,28691,NA,NA,28691
319427126,1592310,7699,NA,78227
319528444,NA,NA,NA,NA
319567426,110717,NA,232,NA
319673281,155823,NA,NA,NA
