siren,Subventions d’exploitation
414381475,NA
420210577,NA
527710172,NA
420210577,NA
492952080,NA
392031902,NA
420210577,NA
499494821,NA
500031919,NA
524584810,NA
381350685,NA
392031902,NA
420210577,NA
421635939,NA
428208193,NA
431747450,NA
500031919,NA
503436040,4109
509289203,NA
512195744,NA
527866529,NA
5980016,NA
36820348,NA
58807413,NA
64802101,NA
85581494,28390
86080702,NA
300817087,NA
301420469,103580
302137435,NA
302454350,NA
302517917,NA
302565049,NA
302640453,NA
304557861,2206
305118945,8394
305306177,NA
305663296,NA
305821225,NA
306138868,1000
307047910,NA
308338383,NA
308800556,NA
309172518,NA
309382661,NA
309989705,NA
311059034,NA
311349500,NA
312197130,NA
313549891,NA
313671109,NA
314239021,NA
314419466,NA
314889544,NA
314974585,NA
315250878,20195
316190172,NA
316916790,NA
317409423,NA
317782571,NA
318843240,NA
318908621,NA
319427126,NA
319528444,NA
319567426,NA
319673281,NA
319773172,NA
320378144,NA
320772510,357130
321111999,NA
322131830,NA
322202250,639
322366600,NA
322566092,NA
322983420,26317
323790949,NA
324081439,NA
325114064,NA
325528057,NA
325931970,NA
325932093,NA
326332483,1835
326638061,3667
326715893,NA
326716040,NA
326717543,NA
326765914,NA
326923414,NA
326979770,NA
327796124,NA
327822482,NA
327893228,NA
327977153,21791
328170337,NA
328223615,NA
328263371,4375
328398862,NA
328612197,NA
328986849,NA
329025365,NA
329922785,NA
330430646,NA
330598202,8192
330714569,4000
331456012,NA
331476671,NA
331662916,NA
331832675,NA
332626860,363
333072833,NA
333306801,NA
333385037,NA
333634160,120
333821528,3341
334203999,NA
334501335,1300
334515038,NA
334766599,NA
335039145,1725
338029994,NA
338224629,1000
338418296,NA
338748536,2000
338797582,NA
339095549,NA
339278509,NA
339425514,NA
339563645,7051
340347384,NA
340383074,250
340409713,NA
340515659,NA
341084507,22299
341139434,3221
341715886,NA
341792455,NA
341824084,NA
342030665,4280
342501392,NA
342584117,NA
342613874,NA
342992195,NA
343152658,NA
343165205,6797
343622643,NA
343802534,NA
343855755,NA
344055827,NA
344122296,NA
344733324,NA
345171250,NA
345176051,NA
345202147,NA
347422982,NA
347667438,NA
347767790,NA
348112863,NA
348518093,NA
348841263,10000
348896259,NA
348918012,NA
348996521,10123
349007351,NA
349099861,NA
349181206,1500
349374868,NA
349397877,NA
349486936,NA
349797225,NA
349884197,NA
350004610,NA
350083598,NA
350131835,NA
350222071,NA
350358271,NA
350481610,NA
350665022,NA
350802831,NA
350828729,NA
350939070,1375
351209911,NA
351226378,NA
351338462,NA
351536099,NA
351560347,338407
352068258,NA
352128870,NA
352160691,NA
352205207,NA
352407860,NA
353148059,NA
353211428,NA
353339179,NA
353498405,NA
353553266,NA
353910516,NA
353948763,NA
354067472,NA
354073736,NA
367500014,NA
377880919,NA
377899893,800
378429690,NA
378526206,NA
379072200,NA
379166325,41450
379441546,NA
379456973,2041
380030320,NA
380405530,NA
380497214,NA
380792440,263221
381350685,NA
381352707,NA
381491919,NA
381653625,600
381692565,NA
381905140,NA
381979855,NA
382338267,NA
382445922,NA
382698876,NA
382827384,NA
383006525,NA
383127990,NA
383299989,NA
383409059,NA
383471786,NA
383486065,NA
384026951,42247
384033908,NA
384037917,NA
384111894,NA
384182226,NA
384307732,NA
384394094,NA
384439113,NA
384525622,NA
384867156,NA
384906418,NA
385091210,NA
385254008,1300
385259817,5790
385337498,NA
387888894,NA
387978356,NA
388415739,NA
388777393,NA
388797938,NA
389126541,4602
389244518,1638
389352659,NA
389478041,NA
389652116,NA
389874751,NA
389893462,NA
389901703,NA
390013944,NA
390032480,NA
390184380,3118
390197333,NA
390236669,NA
390328730,NA
390337848,336
390702801,3092
390733673,NA
390946549,NA
390967859,NA
391529948,2700
391530755,NA
391552932,NA
391940731,NA
392031902,NA
392089967,NA
392359311,NA
392371936,NA
392414074,NA
392447587,NA
392474862,NA
392487062,NA
392541686,NA
392657714,NA
392693784,599
392710620,1038
393162565,NA
393326673,NA
393410170,NA
393578745,NA
393725452,3000
393938550,NA
393940838,NA
393941729,NA
393945522,NA
394125561,NA
394188726,NA
394395552,NA
394442560,639
394745202,NA
394746929,NA
394790430,NA
395086051,NA
395160617,1500
395180177,NA
395187719,-3927
395293996,NA
397528803,NA
397632159,NA
397932658,1556
398054817,NA
398183152,NA
398645663,NA
398686865,NA
398827253,2000
398948232,-2102
399002997,NA
